Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Sales,Rating,Outlet Age
Low Fat,DRH37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041681059,17.6,164.2526,4.0,14
Regular,FDV11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.081652352,9.1,177.0054,3.9,9
Low Fat,FDX14,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.075363922,13.1,73.8354,4.0,6
Low Fat,FDS08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.056685383,12.867122940430924,178.437,3.6,8
Low Fat,FDW48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.008533716,18.0,78.5618,4.0,12
Regular,FDR31,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05934663,6.46,146.9102,4.1,10
Low Fat,FDI22,Canned,2016,OUT046,Tier 1,Medium,Supermarket Type1,0.187558629,8.355,148.0418,3.9,10
Low Fat,NCX05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05934663,15.2,143.9786,4.0,11
Regular,FDY44,Fruits and Vegetables,2012,OUT049,Tier 3,Medium,Supermarket Type1,0.024442501,14.15,196.411,3.9,14
Regular,FDJ40,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049349121,12.867122940430924,108.6912,4.0,8
Regular,FDL12,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.121043709,12.867122940430924,59.422,4.1,8
LF,FDJ16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.114863923,9.195,59.0246,4.0,9
Low Fat,NCQ42,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039078047,12.867122940430924,128.3678,1.0,8
Regular,FDA01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.054488534,15.0,57.5904,3.4,11
Low Fat,FDS39,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.022441883,6.895,143.8812,4.2,12
Regular,FDZ21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039381633,17.6,98.041,4.1,4
Low Fat,FDH32,Fruits and Vegetables,2015,OUT013,Tier 2,Medium,Supermarket Type1,0.076214289,12.8,96.541,4.7,11
Low Fat,FDT58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086088353,9.0,168.7816,4.0,14
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.091924311,12.867122940430924,189.753,5.0,8
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011148865,10.3,84.854,5.0,11
Low Fat,FDI07,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033754478,12.35,199.0426,4.0,9
Regular,FDH44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025872153,19.1,145.7418,3.1,10
Low Fat,DRF27,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.049754975,12.867122940430924,152.134,3.0,8
Regular,FDU57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.089735804,8.27,148.7708,3.9985355648535563,11
Low Fat,FDD56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.104201619,15.2,176.5054,4.2,4
Low Fat,FDW49,Canned,2017,OUT035,Tier 3,Small,Supermarket Type1,0.082536604,19.5,143.9786,4.3,9
Low Fat,FDU13,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,8.355,145.6418,3.9,12
Low Fat,FDP57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,17.5,102.999,4.4,10
Low Fat,FDY59,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031452265,8.195,94.3462,3.7,14
Regular,FDV28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.159728395,16.1,34.3558,4.2,10
Low Fat,NCD18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.072317217,12.867122940430924,230.2668,4.0,8
Low Fat,FDL56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.220225608,12.867122940430924,85.6198,2.8,8
low fat,FDM44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.031112643,12.5,104.999,4.0,11
Regular,FDF44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.059820884,7.17,130.3968,4.0,14
Low Fat,NCY53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,20.0,110.2544,4.1,12
Regular,FDI50,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.030693309,12.867122940430924,228.0352,3.3,8
Regular,FDZ03,Dairy,2015,OUT045,Tier 2,Small,Supermarket Type1,0.078946455,13.65,186.024,4.0,11
Regular,FDX32,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.100265027,15.1,142.5786,3.2,4
Low Fat,NCK06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.008604657,12.867122940430924,123.1756,3.8,8
Low Fat,FDN01,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.126760908,12.867122940430924,176.937,4.0,8
Low Fat,FDU52,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.064030636,7.56,154.463,4.0,4
Low Fat,NCZ54,Household,2011,OUT010,Tier 3,Small,Grocery Store,0.0,14.65,161.5552,4.0,15
Low Fat,FDN25,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.061424738,7.895,57.7588,4.4,4
Low Fat,NCY41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07585337,12.867122940430924,36.8532,4.0,14
Low Fat,FDG21,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.146895866,17.35,149.605,4.3,4
LF,NCX53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.025002878,20.1,140.4154,4.0,15
Low Fat,NCO14,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.049617765,9.6,44.2086,4.0,15
Low Fat,FDK09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.160665697,12.867122940430924,227.5352,3.6,8
Regular,FDS09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.08154715,8.895,49.8008,4.0,6
Low Fat,FDO44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.087630566,12.6,110.0228,4.0,11
Low Fat,FDE24,Baking Goods,2015,OUT013,Tier 2,Medium,Supermarket Type1,0.05934663,14.85,141.5812,4.3,11
Low Fat,FDI46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.074496043,9.5,251.9724,3.6,11
Low Fat,FDK33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.011258035,17.85,211.656,3.9985355648535563,11
Regular,FDD41,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08739577,6.765,105.3306,4.3,14
Low Fat,DRD60,Soft Drinks,2012,OUT049,Tier 3,Medium,Supermarket Type1,0.037289996,15.7,182.7634,3.9,14
Low Fat,DRF36,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023577298,16.1,192.6846,4.3,10
Low Fat,FDU02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.102670882,13.35,228.6352,3.6,14
Low Fat,FDZ60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.119339241,20.5,106.0596,4.0,9
Low Fat,NCL31,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.120280989,7.39,142.747,4.2,10
Regular,FDB41,Frozen Foods,2015,OUT013,Tier 2,High,Supermarket Type1,0.097510482,19.0,48.1718,3.9,11
Low Fat,FDW37,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.123449671,12.867122940430924,89.7488,4.0,8
Low Fat,NCI06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.083547515,12.867122940430924,179.166,4.0,8
Low Fat,NCL41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041802518,12.35,34.8216,2.3,14
Low Fat,FDO46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.014200671,9.6,187.1872,5.0,12
Low Fat,NCZ41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,19.85,126.1704,3.0,4
low fat,FDD46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.14113846,12.867122940430924,155.0998,4.0,12
Low Fat,FDA50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.087102593,16.25,96.041,3.6,12
Regular,FDS27,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.012447775,10.195,197.611,4.2,12
Low Fat,NCY18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031151633,7.285,173.2054,4.6,10
Regular,FDK58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.045052492,11.35,102.6016,4.4,14
Regular,FDO08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.05373063,11.1,165.1526,4.1,12
Low Fat,FDM15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.057655493,11.8,152.6366,4.0,4
Low Fat,FDB47,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.071369947,8.8,209.1612,3.0,12
Low Fat,DRE27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.132939639,11.85,98.0726,4.0,11
Regular,FDP36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.091096531,10.395,52.3008,3.6,12
Regular,FDB36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048801674,5.465,132.1626,4.0,6
LF,FDC20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023971463,10.65,143.9786,3.6,10
Low Fat,FDN60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.095545715,15.1,157.3604,5.0,4
Regular,FDE28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.132521929,9.5,228.6668,4.2,9
Low Fat,FDU40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.037396901,20.85,193.8478,4.0,9
Regular,FDA26,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.073906461,7.855,218.4482,3.0,9
Low Fat,FDH32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075691713,12.867122940430924,98.241,4.2,8
Low Fat,FDA02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029843736,14.0,143.9786,4.0,4
Regular,FDH31,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020411155,12.867122940430924,98.6042,4.2,10
Low Fat,FDH35,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.059956876,12.867122940430924,165.4526,4.0,8
Low Fat,NCA53,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.017295906,12.867122940430924,47.1034,4.1,8
Low Fat,FDP58,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.236616754,12.867122940430924,217.6482,4.0,8
Low Fat,FDU32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,12.867122940430924,120.5414,4.0,12
Low Fat,NCL29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.113939434,9.695,160.2604,4.0,10
Low Fat,FDD03,Dairy,2016,OUT046,Tier 3,Small,Supermarket Type1,0.079806266,13.3,232.53,4.6,10
Low Fat,FDN45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.118080437,19.35,222.6088,4.0,9
Low Fat,FDQ21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01945343,21.25,120.8756,4.5,14
Low Fat,FDR23,Breads,2018,OUT019,Tier 1,Small,Grocery Store,0.143199389,12.867122940430924,175.837,4.2,8
Low Fat,NCT42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024926013,5.88,149.9392,4.0,14
Low Fat,FDE26,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,0.14897741,9.3,143.0786,3.6,15
Regular,FDW16,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.041273391,12.867122940430924,91.6804,4.5,8
low fat,FDU02,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.103091351,13.35,229.9352,4.4,6
Regular,FDV56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.013623294,16.1,109.3596,3.7,11
Regular,FDH60,Baking Goods,2020,OUT017,Tier 3,High,Supermarket Type1,0.081193712,19.7,198.411,4.0,6
Regular,FDU28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09391835,19.2,189.8214,4.3,10
Low Fat,DRN36,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049934854,12.867122940430924,95.0752,3.0,8
Low Fat,FDE34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.108330902,9.195,183.6634,4.1,4
Low Fat,FDP25,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05934663,12.867122940430924,217.0824,4.1,8
Low Fat,FDM13,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06316338,6.425,132.2626,4.0,9
Regular,FDO08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.053765212,11.1,163.1526,4.1,9
Low Fat,NCE42,Household,2017,OUT035,Tier 3,Medium,Supermarket Type1,0.010600287,21.1,233.9958,3.9,9
Regular,FDN56,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,0.05934663,5.46,143.8786,2.9,6
Low Fat,DRE48,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.0,8.43,195.3768,4.0,6
Low Fat,FDV15,Meat,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.05934663,12.867122940430924,105.7648,3.9,8
Low Fat,DRN36,Soft Drinks,2018,OUT019,Tier 1,Small,Supermarket Type1,0.087854925,12.867122940430924,95.9752,4.0,8
Low Fat,DRE48,Soft Drinks,2015,OUT045,Tier 3,Small,Supermarket Type1,0.017360867,8.43,196.2768,4.3,11
Low Fat,FDC26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.126383094,10.195,112.1886,4.0,10
Low Fat,NCY29,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.076860103,12.867122940430924,55.993,4.2,8
Low Fat,DRJ11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.085020342,9.5,188.7872,4.2,12
Regular,FDD32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.040897932,17.7,82.6276,4.2,12
Low Fat,FDG59,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.043234574,15.85,38.3164,4.0,10
Regular,FDU15,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.026579951,13.65,34.7532,1.0,12
Low Fat,NCE30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.099136036,16.0,210.3902,4.0,10
Low Fat,FDG45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,8.1,211.8902,4.0,4
Low Fat,FDI22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.096212432,12.6,207.2612,4.0,10
Low Fat,FDK40,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02189371,7.035,262.791,4.2,11
Regular,FDR24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type1,0.062547321,12.867122940430924,88.383,4.0,8
LF,FDP27,Meat,2018,OUT013,Tier 3,High,Supermarket Type1,0.119351235,8.155,190.153,4.2,8
Low Fat,NCR38,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.114160573,17.25,253.1724,3.9,6
Low Fat,FDE08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.086352403,12.867122940430924,149.8734,4.0,8
Low Fat,NCL07,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031338558,13.85,41.048,3.5,10
Low Fat,NCP43,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03050705,17.75,180.366,4.4,10
Regular,FDV01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.085082648,19.2,153.5314,4.0,14
Low Fat,NCJ17,Health and Hygiene,2022,OUT013,Tier 3,Medium,Supermarket Type2,0.153177941,7.68,85.2224,4.0,4
Low Fat,FDO32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.120731024,6.36,46.506,4.0,14
Regular,FDS28,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082737261,8.18,57.3588,4.0,4
Low Fat,FDI33,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.028395167,16.5,91.7146,4.2,12
Low Fat,NCS53,Health and Hygiene,2017,OUT013,Tier 2,Small,Supermarket Type1,0.089761211,14.5,159.4604,5.0,9
Low Fat,FDT58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.085938463,9.0,168.6816,4.0,9
Regular,FDC40,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.065165046,16.0,143.9786,4.0,14
Regular,FDJ20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.100378096,20.7,122.4388,4.0,11
Regular,FDU26,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.042412572,12.867122940430924,119.0782,4.0,8
Low Fat,DRF03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.045308131,19.1,42.5138,4.4,10
Low Fat,DRK49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035943717,14.15,40.5138,3.9985355648535563,10
Regular,FDC22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.136705075,6.89,194.882,2.5,11
Low Fat,FDZ20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.034278413,16.1,255.2356,3.9985355648535563,12
Low Fat,DRM37,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,0.096943078,15.35,196.5768,4.2,6
Low Fat,NCE07,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,8.18,140.5154,3.9985355648535563,11
Low Fat,FDI22,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.086307051,7.3,146.8076,3.9,11
Regular,FDC16,Dairy,2016,OUT013,Tier 1,Small,Supermarket Type1,0.0,11.5,88.254,4.7,10
Low Fat,NCP17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.027827268,19.35,65.6168,4.5,4
Regular,FDG20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.125942816,15.5,176.0028,4.0,11
Low Fat,NCT29,Fruits and Vegetables,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.063800266,12.867122940430924,123.0414,4.0,8
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.195,107.7622,5.0,14
Low Fat,NCD31,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.025834128,12.1,143.9786,3.9985355648535563,15
Low Fat,DRF03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.045492697,19.1,40.3138,3.9985355648535563,4
Low Fat,NCO02,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.073012871,12.867122940430924,67.5142,3.9985355648535563,8
Low Fat,NCM30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.117825569,12.867122940430924,43.2796,4.0,8
Low Fat,DRK35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.071846495,8.365,37.9506,4.3,10
Low Fat,FDH16,Frozen Foods,2020,OUT013,Tier 2,Small,Supermarket Type1,0.052852621,10.5,88.783,4.1,6
Low Fat,NCX41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.017719277,19.0,211.0244,4.0,10
Regular,FDL12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.121531501,15.85,59.222,4.3,12
LF,FDI45,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.037549969,13.1,176.1054,2.4,12
Low Fat,FDZ40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.040410039,8.935,52.9298,4.8,6
Regular,FDZ23,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.112985849,17.75,185.424,3.4,15
Low Fat,NCN26,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.028674471,10.85,115.1808,3.3,9
Regular,FDB03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.156802171,17.75,242.1538,4.3,9
Low Fat,FDL27,Meat,2015,OUT045,Tier 3,Small,Supermarket Type1,0.010652508,12.867122940430924,65.6826,3.4,11
Low Fat,FDE58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.052149675,18.5,118.3124,3.9985355648535563,14
Low Fat,DRJ59,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019372253,11.65,40.6164,3.0,10
LF,FDZ48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07607772,17.75,112.4544,4.1,14
Low Fat,NCT54,Household,2017,OUT035,Tier 2,Medium,Supermarket Type1,0.119513002,8.695,93.4094,4.0,9
LF,FDV32,Fruits and Vegetables,2015,OUT013,Tier 2,Medium,Supermarket Type1,0.088888291,7.785,64.751,3.5,11
Regular,FDU16,Fruits and Vegetables,2015,OUT013,Tier 2,High,Supermarket Type1,0.0,19.25,143.9786,4.3,11
Low Fat,FDE26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.089005769,9.3,143.9786,1.0,10
Low Fat,NCS29,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.069938838,9.0,264.8884,4.0,6
Low Fat,NCT05,Health and Hygiene,2018,OUT013,Tier 3,High,Supermarket Type1,0.020934413,10.895,256.5672,4.4,8
Low Fat,FDO32,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.121225455,6.36,143.9786,3.9,6
Regular,FDE11,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.134441765,12.867122940430924,183.9924,4.0,8
Low Fat,FDP37,Breakfast,2018,OUT019,Tier 1,Medium,Grocery Store,0.250560049,12.867122940430924,126.9994,4.0,8
Regular,FDW52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037340835,12.867122940430924,163.1526,4.0,8
Low Fat,DRJ49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.013990601,6.865,127.6652,1.0,9
Low Fat,DRI37,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.107076832,12.867122940430924,58.7904,4.0,8
Low Fat,FDC58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.041907414,10.195,43.8428,3.5,12
Low Fat,FDC41,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.117574554,15.6,75.667,4.1,6
Regular,FDE28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,9.5,228.4668,4.7,14
Low Fat,NCB18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.041291169,19.6,86.9514,4.0,10
LF,FDA50,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.145913308,16.25,95.441,4.0,15
Low Fat,FDV47,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054428368,17.1,84.9566,4.0,4
Low Fat,FDZ26,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.144017405,11.6,238.3222,4.0,10
Regular,FDI34,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.085617517,10.65,229.3668,3.8,6
Low Fat,FDO58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039638705,19.6,166.0526,4.3,14
Regular,FDM09,Snack Foods,2018,OUT018,Tier 3,Medium,Supermarket Type2,0.086281593,11.15,170.579,4.0,8
low fat,FDS52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005474515,8.89,99.7016,4.0,10
Low Fat,FDQ12,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03523927,12.867122940430924,231.601,4.0,8
Regular,FDP40,Frozen Foods,2018,OUT019,Tier 1,Medium,Grocery Store,0.060154968,12.867122940430924,110.1544,4.4,8
Regular,FDZ57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037764307,10.0,127.2994,3.4,10
Low Fat,NCV29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022879017,11.8,176.0686,4.0,14
Regular,FDR52,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.133144259,12.867122940430924,190.8846,4.0,8
Regular,FDA04,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.066865326,11.3,260.1962,4.0,11
Regular,FDX38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.048403392,10.5,48.2376,3.0,4
Regular,FDP48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044202545,7.52,182.995,4.0,4
Low Fat,NCA30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,19.0,189.1872,4.1,10
Low Fat,NCK53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.867122940430924,100.8042,4.0,8
Low Fat,NCZ05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.10178199,12.867122940430924,104.699,4.1,8
Regular,FDU43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,19.35,238.6564,4.4,12
Low Fat,FDQ56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.105577348,6.59,85.6908,3.7,9
Regular,FDM27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.157701958,12.867122940430924,158.7946,4.0,8
Regular,FDA25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.068125756,16.5,101.199,3.9985355648535563,10
Regular,FDG35,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,21.2,173.6738,4.1,14
Low Fat,NCN42,Household,2018,OUT046,Tier 1,Small,Supermarket Type1,0.014222617,20.25,148.9418,4.3,8
Regular,FDR55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.132083542,12.15,189.5872,4.0,10
Low Fat,NCK05,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.077079177,12.867122940430924,143.9786,4.5,8
Low Fat,FDI22,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.096407554,12.6,210.8612,4.2,11
Low Fat,FDF50,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.116762173,12.867122940430924,198.9768,4.3,8
Low Fat,FDN40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.08644044,5.88,155.3998,3.9985355648535563,9
Low Fat,FDG29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.05934663,17.6,43.3454,4.2,12
